公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
上海酷萌网络科技有限公司,酷萌网络（LNI技术有限公司）,2000人以上,不需要融资,南山区,Python高级工程师,3-5年,本科,20k-30k,十三薪、十五天年假、工作轻松、海外机会,"移动互联网,游戏",开发|测试|运维类,"['年底双薪', '专项奖金', '绩效奖金', '带薪年假']",后端开发,深圳
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级python研发工程师,1-3年,本科,20k-40k,"六险一金,高薪期权,弹性工作,租房补贴",文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,北京
广州回头车信息科技有限公司,省省回头车,50-150人,A轮,天河区,高级python开发工程师,3-5年,本科,15k-25k,五险一金 期权激励 年底双薪 双休,消费生活,开发|测试|运维类,"['五险一金', '带薪年假', '年度旅游', '岗位晋升']",后端开发,广州
深圳市易博天下科技有限公司,易博天下,150-500人,上市公司,南山区,资深Python开发工程师,5-10年,大专,20k-28k,平台好，上市公司，周末双休，高速增长,"移动互联网,消费生活",开发|测试|运维类,"['年底双薪', '股票期权', '带薪年假', '创业公司范儿']",后端开发,深圳
上海估家网络科技有限公司,房价网,50-150人,B轮,长宁区,python开发工程师,1-3年,本科,10k-15k,发展前景；管理权限,"移动互联网,数据服务",开发|测试|运维类,"['节日礼物', '绩效奖金', '五险一金', '年底双薪']",后端开发,上海
优维科技（深圳）有限公司,优维科技,50-150人,B轮,朝阳区,Python开发-北京,1-3年,本科,10k-20k,"BAT系,年底奖金,氛围好","移动互联网,企业服务",开发|测试|运维类,"['年底双薪', '午餐补助', '股票期权', '弹性工作']",后端开发,北京
上海众言网络科技有限公司,问卷网@爱调研,150-500人,C轮,徐汇区,Python高级开发工程师,5-10年,本科,25k-35k,双休，每年多次调薪，平台大，弹性时间,移动互联网,开发|测试|运维类,"['技能培训', '节日礼物', '年底双薪', '绩效奖金']",后端开发,上海
耘智信息科技（上海）有限公司,Seedlink,15-50人,A轮,静安区,Django/Python/后端开发,3-5年,本科,20k-35k,发展前景好、学习发展快,"移动互联网,企业服务",开发|测试|运维类,"['股票期权', '扁平管理', '年终分红', '五险一金']",后端开发,上海
西安星垂智能科技有限公司,星垂智能,15-50人,不需要融资,高新技术产业开发区,Python 后端开发工程师,1-3年,本科,10k-20k,Work from home；免费健身房,"移动互联网,人工智能",开发|测试|运维类,"['带薪年假', '弹性工作', '健身房福利', '扁平管理']",后端开发,西安
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,高新技术产业开发区,python开发实习生（西安）,不限,本科,2k-3k,餐饮补贴 专业培训 弹性工作,信息安全,开发|测试|运维类,"['技能培训', '节日礼物', '股票期权', '带薪年假']",移动前端开发,西安
全球生物医药产业发展（成都）有限公司,GDCC,50-150人,不需要融资,高新区,Python(AI) /Java工程师,3-5年,本科,10k-15k,"AI,生物科技,深度学习,大平台","移动互联网,医疗丨健康",开发|测试|运维类,"['专项奖金', '带薪年假', '领导好', '管理规范']",后端开发,成都
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,福田区,Python后端开发工程师,1-3年,本科,10k-20k,上市公司 前景佳 氛围好 牛人多,"数据服务,企业服务",开发|测试|运维类,"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",后端开发,深圳
中国电信股份有限公司云计算分公司,中国电信云计算公司,500-2000人,上市公司,海淀区,Python开发工程师,5-10年,本科,20k-35k,天翼云 业务牛 稳定 国家队,数据服务,开发|测试|运维类,"['节日礼物', '技能培训', '白富美', '绩效奖金']",后端开发,北京
上海辰沅金融信息服务有限公司,辰沅金融,15-50人,A轮,浦东新区,Python工程师,1-3年,本科,13k-26k,"公司环境好,牛人聚集地,扁平化管理,晋升空间大",金融,开发|测试|运维类,"['带薪年假', '弹性工作', '年度旅游', '五险一金']",后端开发,上海
北京阿博茨科技有限公司,阿博茨科技,150-500人,B轮,海淀区,PYTHON开发工程师 (MJ000126),1-3年,本科,15k-25k,金融科技 人工智能,移动互联网,开发|测试|运维类,"['五天工作制', '带薪假期', '健康午餐', '体育课']",后端开发,北京
富途网络科技（深圳）有限公司,富途,500-2000人,上市公司,南山区,高级DevOps开发工程师/python,3-5年,不限,15k-30k,"腾讯系团队,扁平管理,六险一金",金融,开发|测试|运维类,"['年底双薪', '腾讯系', '互联网金融', '年度体检']",运维,深圳
北京十牛科技有限公司,十牛科技,15-50人,天使轮,朝阳区,python开发工程师,1-3年,大专,10k-20k,五险一金，项目奖金，年终奖,移动互联网,开发|测试|运维类,"['股票期权', '年终分红', '午餐补助', '绩效奖金']",后端开发,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,黄浦区,高级Python开发工程师,3-5年,本科,25k-50k,六险一金，餐补，租房补贴，带薪休假，休闲下午茶，过亿用户，职业大牛，团队氛围好，优厚薪资,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,上海
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,高级Python开发工程师,5-10年,本科,25k-40k,"前沿技术,弹性工作,丰富下午茶","移动互联网,电商",开发|测试|运维类,"['股票期权', '交通补助', '带薪年假', '扁平管理']",后端开发,北京
通联数据股份公司,通联数据,150-500人,不需要融资,虹口区,Python开发工程师SH,1-3年,本科,15k-25k,"技术氛围浓,办公环境好,团队氛围佳",金融,开发|测试|运维类,"['五险一金', '通讯津贴', '带薪年假', '节日礼物']",后端开发,上海
成都市肆零肆网络科技有限公司,成都肆零肆,50-150人,未融资,武侯区,Python高级开发工程师,3-5年,本科,10k-18k,"六险一金,带薪年假,项目提成,周末双休","信息安全,数据服务",开发|测试|运维类,"['弹性工作', '帅哥多', '节日礼物', '管理规范']",后端开发,成都
上海沸橙信息科技有限公司,上海沸橙信息科技有限公司,150-500人,不需要融资,浦东新区,python开发,1-3年,本科,12k-20k,核心项目,"电商,移动互联网",开发|测试|运维类,"['带薪年假', '绩效奖金', '定期体检', '交通补助']",后端开发,上海
深圳比特屋网络有限公司,时光小屋,15-50人,B轮,洪山区,Python开发工程师,1-3年,本科,15k-25k,五险一金 带薪年假 午餐补助,移动互联网,开发|测试|运维类,"['年底双薪', '带薪年假', '年度旅游', '节日礼物']",后端开发,武汉
飞维美地信息技术（北京）有限公司,FreeWheel,500-2000人,上市公司,朝阳区,资深Java/Python/C#/PHP开发,3-5年,本科,27k-34k,"美资互联网,技术导向,英文环境,硅谷文化","企业服务,数据服务",开发|测试|运维类,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",后端开发,北京
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,AI Lab-python开发工程师,3-5年,本科,15k-30k,六险一金、年终奖金、提供晚餐、弹性工作,教育,开发|测试|运维类,"['上市公司', '领军企业', '五险一金', '住福计划']",后端开发,北京
深圳市客路网络科技有限公司,KLOOK 客路旅行,500-2000人,D轮及以上,福田区,高级Python工程师,3-5年,本科,15k-30k,"国际化平台,环境舒适,好玩有趣",旅游,开发|测试|运维类,"['零食水果供应', '带薪年假', '绩效奖金', '扁平管理']",后端开发,深圳
弘康人寿保险股份有限公司,弘康人寿,150-500人,不需要融资,朝阳区,python开发工程师,不限,本科,15k-20k,"五险一金,工作居住证,福利补贴,年终奖",金融,开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",后端开发,北京
深圳前海农产品交易所股份有限公司,前海农交所,50-150人,不需要融资,南山区,Python工程师,3-5年,大专,15k-30k,激情团队,"金融,其他",开发|测试|运维类,"['绩效奖金', '带薪年假', '定期体检', '专项奖金']",后端开发,深圳
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级python工程师,3-5年,本科,30k-60k,六险一金，高薪期权，弹性工作，免费三餐,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,北京
北京自造星球科技有限公司,牛顿Newton,50-150人,不需要融资,朝阳区,高级Python研发工程师,3-5年,本科,15k-30k,"区块链,高成长","企业服务,数据服务",开发|测试|运维类,"['技能培训', '股票期权', '扁平管理', '定期体检']",后端开发,北京
上海易路软件有限公司,易路,150-500人,B轮,闵行区,Python中级开发工程师,1-3年,本科,12k-18k,五险一金，加班费，C轮创业，期权激励,"移动互联网,企业服务",开发|测试|运维类,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']",后端开发,上海
深圳市丰巢科技有限公司,深圳市丰巢科技有限公司,500-2000人,A轮,东湖新技术开发区,Python开发工程师-武汉,3-5年,本科,10k-20k,扁平化管理 大平台 薪酬福利好,消费生活,开发|测试|运维类,"['五险一金', '通讯津贴', '交通补助', '带薪年假']",后端开发,武汉
北京融联世纪信息技术有限公司,时光金科,500-2000人,未融资,海淀区,高级Python研发工程师,3-5年,本科,30k-50k,千万级用户，高并发系统，团队大牛多,金融,开发|测试|运维类,[],后端开发,北京
北京点石经纬科技有限公司,OKAY智慧教育,500-2000人,B轮,海淀区,高级python工程师,3-5年,大专,15k-30k,"领导nic,扁平化管理","移动互联网,教育",开发|测试|运维类,"['五险一金', '带薪年假', '节日礼物', '午餐补助']",后端开发,北京
青岛英联艺术传媒有限公司,AAM中国,50-150人,未融资,荔湾区,Python高级开发工程师,3-5年,本科,15k-26k,高效团队,数据服务,开发|测试|运维类,[],后端开发,广州
北京功夫仁医网络科技有限责任公司,功夫仁医,150-500人,不需要融资,武昌区,资深Python工程师,3-5年,本科,15k-22k,双休 加班少 五险一金 各类补助,"移动互联网,医疗丨健康",开发|测试|运维类,[],后端开发,武汉
上海牛咖信息科技有限公司,牛咖,50-150人,A轮,普陀区,python高级开发工程师,3-5年,本科,25k-50k,"技术大牛,弹性工作,领导耐撕,奖金丰厚","移动互联网,社交",开发|测试|运维类,"['年底双薪', '专项奖金', '绩效奖金', '弹性工作']",后端开发,上海
深圳市和讯华谷信息技术有限公司,极光,500-2000人,上市公司,南山区,Python后台开发工程师,3-5年,本科,15k-25k,上市公司、技术氛围好、弹性工作制,企业服务,开发|测试|运维类,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",后端开发,深圳
北京国研网信息股份有限公司,国研网,150-500人,上市公司,东城区,高级python开发工程师,3-5年,硕士,22k-27k,六险一金，超长年假，大型国企,"企业服务,数据服务",开发|测试|运维类,"['专项奖金', '年终分红', '定期体检', '弹性工作']",后端开发,北京
广府数字（深圳）股份有限公司,广府数字,15-50人,未融资,天河区,ＰＨＰ兼 Python 开发工程师,不限,大专,13k-18k,"打造千万级,原始股权,公司核心骨,报酬丰厚","区块链,电商",开发|测试|运维类,[],后端开发,广州
上海竞乐信息技术有限公司,Garena,150-500人,不需要融资,徐汇区,python后端开发工程师,1-3年,本科,15k-28k,五险一金 ，免费零食，双休，带薪年假,移动互联网,开发|测试|运维类,"['年底双薪', '绩效奖金', '交通补助', '五险一金']",后端开发,上海
深圳市立新出行信息技术有限公司,立新出行,50-150人,不需要融资,宝安区,Python后台开发工程师,3-5年,本科,25k-35k,"周末双休,五险一金,自助零食,领导好","电商,消费生活",开发|测试|运维类,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",后端开发,深圳
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,雁塔区,Python 后端开发工程师(J11843),1-3年,本科,10k-18k,弹性工作 双休 优秀导师 餐补 股票期权,信息安全,开发|测试|运维类,"['技能培训', '节日礼物', '股票期权', '带薪年假']",后端开发,西安
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,黄浦区,高级Python开发工程师--抖音上海,3-5年,本科,25k-50k,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,文娱丨内容,开发/测试/运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,上海
上海点融信息科技有限责任公司,点融,150-500人,D轮及以上,黄浦区,高级python开发工程师-SH415-41509,3-5年,本科,20k-40k,"前景好,福利好",金融,开发|测试|运维类,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']",后端开发,上海
深圳佑驾创新科技有限公司,MINIEYE,150-500人,A轮,南山区,Python 服务端开发工程师,1-3年,本科,15k-30k,"创新产品,牛人密集,从0到1,项目奖金","硬件,其他",开发|测试|运维类,"['无人驾驶', '国际标准', '车厂合作', '海归团队']",后端开发,深圳
克鲁（北京）网络科技有限公司,Castbox,50-150人,B轮,朝阳区,Python后端开发工程师,3-5年,本科,20k-40k,"大牛云集,硅谷文化,免费三餐,租房补贴","移动互联网,文娱丨内容",开发|测试|运维类,"['股票期权', '弹性工作', '免费按摩', '住房补助']",后端开发,北京
深圳呗佬科技有限公司,Bello,15-50人,A轮,南山区,python开发工程师,3-5年,不限,15k-30k,不打卡、发展空间大,"企业服务,人工智能",开发|测试|运维类,[],后端开发,深圳
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,Python后端工程师,5-10年,本科,25k-40k,"五险一金,免费午餐,团队融洽,技术超前","医疗丨健康,数据服务",开发|测试|运维类,"['股票期权', '带薪年假', '扁平管理', '定期体检']",后端开发,北京
上海易路软件有限公司,易路,150-500人,B轮,闵行区,Python高级开发工程师,3-5年,本科,18k-28k,五险一金，加班费，C轮创业，期权激励,"移动互联网,企业服务",开发|测试|运维类,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']",后端开发,上海
上海语酷网络科技有限公司,语酷网络,15-50人,不需要融资,静安区,后端开发工程师-Python,3-5年,不限,15k-30k,定制午餐 上升空间大,"社交,企业服务",开发|测试|运维类,[],后端开发,上海
乐飞天下信息技术(北京)有限公司,乐飞天下,150-500人,未融资,朝阳区,Python中级开发（AK）,3-5年,本科,15k-25k,五险一金 绩效奖金 员工旅游 带薪假,"移动互联网,旅游",开发|测试|运维类,"['技能培训', '扁平管理', '五险一金', '午餐补助']",后端开发,北京
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,海淀区,实习-Python工程师,1年以下,本科,2k-4k,五险一金，周末双休,信息安全,开发|测试|运维类,"['技能培训', '节日礼物', '股票期权', '带薪年假']",后端开发,北京
新电信息科技（成都）有限公司,NCS,500-2000人,不需要融资,高新区,Python Intern,不限,本科,2k-3k,弹性工作 节日福利,企业服务,开发|测试|运维类,"['技能培训', '带薪年假', '绩效奖金', '扁平管理']",后端开发,成都
北京棕榈创想科技有限公司,PALMAX,150-500人,A轮,高新区,高级Python工程师,3-5年,本科,13k-22k,"五险一金,试用期全薪,餐补,团队氛围",移动互联网,开发|测试|运维类,"['绩效奖金', '交通补助', '定期体检', '午餐补助']",后端开发,成都
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级工程师（技术平台）,3-5年,本科,25k-50k,福利待遇,"移动互联网,教育",开发|测试|运维类,"['节日礼物', '岗位晋升', '扁平管理', '领导好']",后端开发,北京
深圳市明源云客电子商务有限公司,明源云,2000人以上,上市公司,南山区,Python高级开发工程师,3-5年,本科,15k-30k,"精英团队,技术驱动,极客氛围,行业独角兽",电商,开发|测试|运维类,"['高额六险一金', '年底双薪', '绩效奖金', 'N项经费']",后端开发,深圳
厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,南山区,初/中级Python开发工程师,1-3年,本科,12k-22k,"弹性工作,海外团队,海外市场",硬件,开发|测试|运维类,"['节日礼物', '与大牛共事', '福利健全', '五险一金']",后端开发,深圳
北京初速度科技有限公司,Momenta,150-500人,B轮,相城区,软件工程师-Python(J10268),1-3年,本科,15k-25k,无人驾驶行业独角兽，福利好，弹性工作,"数据服务,硬件",开发|测试|运维类,"['股票期权', '定期体检', '14薪', '世界顶尖团队']",数据开发,苏州
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,朝阳区,Python后端开发,1-3年,本科,15k-25k,带薪休假、午餐等福利、五险一金、晋升空间,"移动互联网,企业服务",开发|测试|运维类,"['绩效奖金', '扁平管理', '岗位晋升', '五险一金']",后端开发,北京
杭州今元标矩科技有限公司,金柚网,500-2000人,B轮,江干区,Python RPA工程师,1-3年,不限,10k-15k,"周末双休,五险一金,成长空间大,发展前景","移动互联网,企业服务",开发|测试|运维类,"['股票期权', '岗位晋升', '五险一金', '弹性工作']",后端开发,杭州
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,高级python开发工程师,1-3年,本科,25k-50k,6险1金 超长假期,人工智能,开发|测试|运维类,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",后端开发,北京
北京无极慧通科技有限公司,无极慧通,50-150人,A轮,海淀区,高级python开发工程师,1-3年,本科,10k-15k,"广阔的发展,创业公司,融洽的办公","医疗丨健康,数据服务",开发|测试|运维类,"['技能培训', '年底双薪', '岗位晋升', '领导好']",数据开发,北京
深圳晶泰科技有限公司,晶泰科技,150-500人,B轮,海淀区,Python后台开发,3-5年,本科,12k-20k,"五险一金,带薪年假,MIT大牛",企业服务,开发|测试|运维类,"['节日礼物', '股票期权', '岗位晋升', '扁平管理']",后端开发,北京
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,高级python开发工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励,金融,开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",后端开发,北京
上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,浦东新区,python后台开发工程师,1-3年,本科,15k-25k,团队优秀,移动互联网,开发|测试|运维类,"['明星直播', '男女1:1', '带薪年假', '扁平管理']",后端开发,上海
北京广通信达软件股份有限公司杭州分公司,广通软件,150-500人,上市公司,西湖区,高级Python开发工程师,3-5年,大专,10k-20k,福利待遇好、技术氛围好、领导超级赞,"移动互联网,数据服务",开发|测试|运维类,"['扁平管理', '岗位晋升', '五险一金', '技能培训']",后端开发,杭州
北京微光果壳科技有限公司,微壳,150-500人,不需要融资,朝阳区,Python/Golang开发工程师,3-5年,本科,25k-40k,"Geek,16薪,海外旅游,六险一金","移动互联网,企业服务",开发|测试|运维类,"['六险一金', '年底双薪', '绩效奖金', '带薪年假']",后端开发,北京
北京多牛互动传媒股份有限公司,多牛传媒,500-2000人,上市公司,海淀区,python后端开发工程师,1-3年,本科,12k-20k,五险一金 周末双休 职业规划,文娱丨内容,开发|测试|运维类,"['五险一金', '节日礼物', '弹性工作', '岗位晋升']",后端开发,北京
浙江天垂科技有限公司,TELETRAAN,15-50人,天使轮,滨江区,python后端工程师,不限,本科,15k-30k,"硅谷模式,MAC电脑,五险一金,氛围轻松","数据服务,企业服务",开发|测试|运维类,"['硅谷技术', 'MAC环境', '股票期权', '绩效奖金']",后端开发,杭州
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,闵行区,资深Python研发工程师-广告系统,3-5年,本科,20k-35k,六险一金，免费三餐，租房补贴，休闲下午茶,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,上海
北京中关村科金技术有限公司,中科金,2000人以上,B轮,朝阳区,Python高级工程师,3-5年,本科,15k-25k,午餐补助、年终奖、节假日福利,金融,开发|测试|运维类,"['绩效奖金', '带薪年假', '午餐补助', '定期体检']",后端开发,北京
北京格灵深瞳信息技术有限公司,格灵深瞳,150-500人,C轮,海淀区,Python高级开发工程师&nbsp;,3-5年,本科,20k-40k,"扁平化管理,不定期团建","企业服务,数据服务",开发|测试|运维类,"['技能培训', '节日礼物', '玩乐项目多', '岗位晋升']",后端开发,北京
西安星垂智能科技有限公司,星垂智能,15-50人,不需要融资,高新技术产业开发区,Senior Python Engineer,3-5年,本科,15k-25k,Work from home；免费健身房,"移动互联网,人工智能",开发|测试|运维类,"['带薪年假', '弹性工作', '健身房福利', '扁平管理']",后端开发,西安
万科物业发展股份有限公司,万科物业,2000人以上,不需要融资,福田区,高级Python开发工程师,3-5年,本科,15k-30k,结构扁平 五险一金 年度旅游 弹性时间,房产家居,开发|测试|运维类,"['社区o2o', '原始股权', '弹性工作制', '互联网+']",后端开发,深圳
北京天桐互动信息技术有限公司,天桐互动,50-150人,C轮,朝阳区,高级Python工程师,1-3年,本科,20k-35k,"期权激励,扁平化管理,五险一金,年底双薪",移动互联网,开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', '年度旅游']",后端开发,北京
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,python技术经理,5-10年,本科,25k-50k,五险一金，带薪年假，周末双休,"移动互联网,金融",开发|测试|运维类,"['岗位晋升', '五险一金', '节日礼物']",后端开发,北京
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,Python助教,1-3年,本科,6k-8k,"空间无限大,领导好,团队优秀,团队氛围好","移动互联网,教育",教育|培训,"['节日礼物', '技能培训', '节日礼品卡', '月度团建']",教师,北京
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,监控系统开发工程师-Python&amp;Go,3-5年,本科,16k-30k,发展前景,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,朝阳区,高级 Python 研发工程师/方向负责人,3-5年,本科,20k-35k,房补、午餐、每月团建经费、零食水果、年假,"移动互联网,企业服务",开发|测试|运维类,"['绩效奖金', '扁平管理', '岗位晋升', '五险一金']",后端开发,北京
北京推想科技有限公司,推想科技,150-500人,C轮,朝阳区,python开发实习生 (MJ000270),不限,本科,4k-8k,大牛带队，人工智能,"医疗丨健康,数据服务",开发|测试|运维类,"['午餐补助', '弹性工作', '技能培训', '五险一金']",后端开发,北京
广州市驴迹科技有限责任公司,驴迹科技,150-500人,D轮及以上,天河区,Python web工程师,5-10年,不限,20k-35k,"双休,准上市,领导好","移动互联网,旅游",开发|测试|运维类,[],后端开发,广州
联想（北京）有限公司,联想集团,2000人以上,上市公司,海淀区,高级Python开发工程师,3-5年,本科,20k-40k,上市公司,"移动互联网,数据服务",开发|测试|运维类,"['五险一金', '绩效奖金', '午餐补助', '带薪年假']",后端开发,北京
深圳市铱硙医疗科技有限公司,脑医生,15-50人,A轮,南山区,python后端开发工程师,1-3年,本科,8k-15k,"高端前沿,前景广阔,年终奖金","医疗丨健康,数据服务",开发|测试|运维类,"['专项奖金', '带薪年假', '领导好', '五险一金']",后端开发,深圳
深圳市微课科技有限公司,荔枝微课,50-150人,A轮,南山区,python运维开发工程师,1-3年,本科,10k-15k,"双休,年轻团队,学习机会多","移动互联网,教育",开发|测试|运维类,"['美女多', '弹性工作', '扁平管理', '午餐补助']",运维,深圳
华扬联众数字技术股份有限公司西安分公司,华扬联众全国数据技术中心（HDTC）,2000人以上,不需要融资,鼓楼区,python高级开发工程师,3-5年,本科,10k-20k,带薪假期、6险1金、年底双薪,"数据服务,文娱丨内容",开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', 'baby津贴']",后端开发,南京
北大医疗信息技术有限公司,北大医信,500-2000人,不需要融资,海淀区,python运维开发工程师,1-3年,本科,6k-12k,"五险一金,年终奖,餐补,商业保险",医疗丨健康,开发|测试|运维类,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",后端开发,北京
广州小鹏汽车科技有限公司,小鹏汽车,2000人以上,B轮,天河区,Python开发高级/资深工程师/专家,3-5年,不限,20k-40k,福利待遇，发展前景,汽车丨出行,开发|测试|运维类,"['年底双薪', '专项奖金', '绩效奖金', '股票期权']",后端开发,广州
