公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
北京推想科技有限公司,推想科技,150-500人,C轮,城关区,python开发实施工程师（兰州),1-3年,大专,6k-10k,弹性工作时间，人工智能领域黑马，AI医疗,"医疗丨健康,数据服务",开发|测试|运维类,"['午餐补助', '弹性工作', '技能培训', '五险一金']",运维,兰州
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python开发实习生,应届毕业生,本科,9k-12k,业界大牛，每日三餐下午茶，瑜伽健身房。,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,北京
翼果（深圳）科技有限公司,翼果科技,50-150人,天使轮,南山区,Python后台工程师(科技园),1-3年,本科,10k-20k,"技术氛围浓厚,成长期,机会多","大数据,互联网,移动互联网",开发|测试|运维类,"['绩效奖金', '岗位晋升', '扁平管理', '领导好']",后端开发,深圳
上海寻梦信息技术有限公司,拼多多,2000人以上,上市公司,长宁区,高级Python开发工程师,1-3年,本科,20k-40k,"福利好,大牛多,成长快","电商,移动互联网",开发|测试|运维类,"['股票期权', '专项奖金', '弹性工作', '扁平管理']",数据开发,上海
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,徐汇区,Python后端工程师,5-10年,本科,23k-45k,人工智能；绩效奖金，餐补,人工智能,开发|测试|运维类,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",后端开发,上海
深圳小步网络科技有限公司,小步网络,150-500人,B轮,宝安区,高级Python后台开发工程师,3-5年,本科,20k-30k,"海外项目,发展空间大,环境宽松,大牛多",移动互联网,开发|测试|运维类,"['股票期权', '定期体检', '下午茶', '年度旅游']",后端开发,深圳
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,建邺区,Python后端开发工程师,5-10年,本科,18k-25k,发展空间、年终奖金、技术氛围浓厚,硬件,开发|测试|运维类,"['快速成长', '免费班车', '扁平管理', '技能培训']",后端开发,南京
深圳互乐科技有限公司,互乐科技,150-500人,不需要融资,海珠区,python后端开发工程师,3-5年,本科,13k-18k,扁平化 高额奖金 周末双休 公司nice,移动互联网,开发|测试|运维类,"['带薪年假', '专项奖金', '绩效奖金', '年度旅游']",后端开发,广州
深圳华秋电子有限公司,深圳华秋电子有限公司,150-500人,B轮,福田区,Python高级开发/爬虫工程师,3-5年,本科,15k-18k,"公司背景好,福利好,实力雄厚","移动互联网,电商",开发|测试|运维类,"['节日礼物', '年底双薪', '专项奖金', '带薪年假']",后端开发,深圳
北京博派通达科技有限公司,博派通达,50-150人,A轮,朝阳区,Python后端开发工程师,1-3年,大专,15k-30k,"地铁周边,超多大牛,免费茶歇,弹性工作","移动互联网,硬件",开发|测试|运维类,"['年底双薪', '股票期权', '带薪年假', '扁平管理']",后端开发,北京
北京墨云科技有限公司,墨云科技,50-150人,B轮,鼓楼区,python后端开发工程师,3-5年,本科,15k-30k,五险一金,信息安全,开发|测试|运维类,"['股票期权', '弹性工作', '五险一金', '午餐交通补助']",后端开发,南京
上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,朝阳区,Python 后端开发（北京）,1-3年,本科,18k-36k,发展前景优，工作氛围轻松,移动互联网,开发|测试|运维类,"['明星直播', '男女1:1', '带薪年假', '扁平管理']",后端开发,北京
西安星垂智能科技有限公司,星垂智能,15-50人,不需要融资,高新技术产业开发区,高级 Python 后端开发工程师,3-5年,本科,15k-25k,Work from home；免费健身房,"移动互联网,人工智能",开发|测试|运维类,"['带薪年假', '弹性工作', '健身房福利', '扁平管理']",后端开发,西安
深圳永安在线科技有限公司,威胁猎人,50-150人,A轮,南山区,python后台开发工程师（中级）,3-5年,本科,17k-25k,"报酬丰厚,氛围好,福利好,晋升空间大",信息安全,开发|测试|运维类,"['带薪年假', '股票期权', '绩效奖金', '扁平管理']",后端开发,深圳
北京黑尾互动科技有限公司,黑尾互动,15-50人,天使轮,朝阳区,Python后端工程师,3-5年,本科,18k-35k,出海前景大 一线风投背书 精英海归团队,"移动互联网,社交",开发|测试|运维类,"['午餐补助', '绩效奖金', '股票期权']",后端开发,北京
北京推想科技有限公司,推想科技,150-500人,C轮,吴江区,Python开发实施工程师（苏州）,1-3年,大专,6k-12k,弹性工作时间，人工智能领域黑马，AI医疗,"医疗丨健康,数据服务",开发|测试|运维类,"['午餐补助', '弹性工作', '技能培训', '五险一金']",后端开发,苏州
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,南山区,Python后端工程师,5-10年,本科,20k-40k,人工智能,人工智能,开发|测试|运维类,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",后端开发,深圳
网易（杭州）有限公司,网易,2000人以上,上市公司,天河区,Python开发工程师,3-5年,本科,20k-25k,福利好，大牛多，平台大，16薪,电商,开发|测试|运维类,"['节日礼物', '技能培训', '免费班车', '带薪年假']",后端开发,广州
深圳市金证优智科技有限公司,金证优智,15-50人,A轮,海淀区,python数据开发工程师,3-5年,本科,20k-40k,"技术大牛,团队氛围好,高成长",人工智能,开发|测试|运维类,[],后端开发,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,黄浦区,Python开发实习生-短视频方向,不限,本科,4k-8k,弹性工作，餐补，租房补贴，休闲下午茶，扁平管理，过亿用户，职业大牛，团队氛围好，优厚薪资,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,上海
重庆满惠网络科技有限公司,满惠科技,150-500人,不需要融资,江北区,python开发工程师,3-5年,大专,6k-10k,"平台广,弹性工作,节日福利","移动互联网,数据服务",开发|测试|运维类,[],后端开发,重庆
成都斯沃茨科技有限公司,Swartz,15-50人,A轮,高新区,python后端开发工程师,1-3年,本科,7k-11k,"朝九晚六,弹性上班时间,每月带薪事假","移动互联网,其他",开发|测试|运维类,"['弹性工作', '领导好', '带薪年假', '节日礼物']",后端开发,成都
全球生物医药产业发展（成都）有限公司,GDCC,50-150人,不需要融资,高新区,中级Python/Java工程师,3-5年,本科,10k-15k,发展前景 好团队,"移动互联网,医疗丨健康",开发|测试|运维类,"['专项奖金', '带薪年假', '领导好', '管理规范']",后端开发,成都
武汉小果科技有限公司,森果,50-150人,天使轮,江夏区,Python后台,1-3年,本科,9k-15k,技术大牛，年终奖，自主研发，提供mac,"移动互联网,企业服务",开发|测试|运维类,"['股票期权', '弹性工作', '节日礼物', '领导好']",后端开发,武汉
广州南天电脑系统有限公司,广州南天,500-2000人,上市公司,天河区,pyhton运维开发工程师,3-5年,大专,8k-15k,"五险一金,年终奖金,带薪年假,周末双休",数据服务,开发|测试|运维类,"['五险一金', '带薪年假', '午餐补助', '节日礼物']",后端开发,广州
北京视野金融信息服务有限公司,视野金融,50-150人,A轮,海淀区,python算法工程师,3-5年,本科,15k-30k,五险一金 加班补助 老板nice,"移动互联网,金融",开发|测试|运维类,"['股票期权', '绩效奖金', '岗位晋升', '扁平管理']",人工智能,北京
锐波（北京）科技有限公司,波场TRON,150-500人,不需要融资,海淀区,高级python开发工程师,5-10年,本科,25k-50k,技术大牛 五险一金 团队管理,"移动互联网,金融",开发|测试|运维类,"['股票期权', '扁平管理', '美女多', '五险一金']",后端开发,北京
深圳智易科技有限公司,智易科技,15-50人,天使轮,南山区,Python后台开发工程师,3-5年,本科,25k-40k,"股票期权,云计算,人工智能,弹性工作制","数据服务,企业服务",开发|测试|运维类,"['人工智能', '云计算', '股票期权', '技能培训']",后端开发,深圳
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,Python后端开发工程师,3-5年,本科,25k-50k,大牛多，技术氛围好,人工智能,开发|测试|运维类,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",后端开发,北京
北京一人一亩田网络科技有限公司,一亩田,150-500人,C轮,海淀区,Python实习生,不限,本科,3k-6k,"电商平台,大牛团队,导师培养","移动互联网,电商",开发|测试|运维类,"['节日礼物', '年底双薪', '专项奖金', '股票期权']",后端开发,北京
北京推想科技有限公司,推想科技,150-500人,C轮,云岩区,Python开发实施工程师（贵州）,1-3年,不限,6k-11k,弹性工作时间，人工智能领域黑马，AI医疗,"医疗丨健康,数据服务",开发|测试|运维类,"['午餐补助', '弹性工作', '技能培训', '五险一金']",后端开发,贵阳
北京墨云科技有限公司,墨云科技,50-150人,B轮,海淀区,Python后端开发工程师,3-5年,本科,15k-30k,"五险一金,弹性工作,餐补,带薪年假",信息安全,开发|测试|运维类,"['股票期权', '弹性工作', '五险一金', '午餐交通补助']",后端开发,北京
上海晨芽教育科技有限公司,晨芽科技,50-150人,天使轮,浦东新区,Python高级服务端开发工程师,5-10年,本科,15k-25k,"五险一金,团队氛围融,各类福利",教育,开发|测试|运维类,"['股票期权', '带薪年假', '岗位晋升', '五险一金']",后端开发,上海
北京视野金融信息服务有限公司,视野金融,50-150人,A轮,海淀区,Python后台工程师,3-5年,本科,15k-20k,五险一金 加班补助 老板nice,"移动互联网,金融",开发|测试|运维类,"['股票期权', '绩效奖金', '岗位晋升', '扁平管理']",后端开发,北京
励德爱思唯尔信息技术（北京）有限公司,LexisNexis,150-500人,上市公司,长宁区,Sr Python Engineer,5-10年,本科,20k-40k,15-20天年假，生日，圣诞假，节日福利,不限,开发|测试|运维类,"['年底双薪', '带薪年假', '定期体检', '扁平管理']",后端开发,上海
上海牛咖信息科技有限公司,牛咖,50-150人,A轮,普陀区,Python数据开发工程师,3-5年,本科,15k-30k,"领导逗比,氛围欢乐,扁平结构,绩效奖金","移动互联网,社交",开发|测试|运维类,"['年底双薪', '专项奖金', '绩效奖金', '弹性工作']",后端开发,上海
杭州大搜车汽车服务有限公司,大搜车,2000人以上,D轮及以上,余杭区,Python研发工程师（数据平台）,1-3年,本科,9k-15k,"大平台,成长空间大,弹性工作,扁平化",汽车丨出行,开发|测试|运维类,"['技能培训', 'Geek', '开放', '扁平管理']",后端开发,杭州
北京八维研修学院,北京八维研修学院,2000人以上,未融资,海淀区,python听课干事,1-3年,本科,10k-15k,五险一金，提供带薪年假。,教育,开发|测试|运维类,"['绩效奖金', '带薪年假', '午餐补助', '技能培训']",后端开发,北京
上海炫体信息科技有限公司,雷速体育,50-150人,不需要融资,虹口区,Python后端开发工程师,3-5年,本科,15k-25k,"年轻人,各种补助","移动互联网,社交",开发|测试|运维类,"['节日礼物', '年底双薪', '专项奖金', '带薪年假']",后端开发,上海
上海联元智能科技有限公司,联元智能科技,50-150人,A轮,普陀区,高级python后端开发工程师,3-5年,本科,12k-20k,五险一金 绩效奖金 弹性工作 补充公积金,"移动互联网,数据服务",开发|测试|运维类,"['绩效奖金', '带薪年假', '补充公积金', '年底双薪']",后端开发,上海
深圳茂源资本资产管理有限公司,茂源资本,50-150人,不需要融资,南山区,python后端工程师,不限,本科,15k-30k,扁平化 福利优,"电商,金融",开发|测试|运维类,"['年终分红', '专项奖金', '绩效奖金', '股票期权']",后端开发,深圳
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,python后台工程师,3-5年,本科,20k-40k,"弹性工作,六险一金,学习氛围,绩效奖金","移动互联网,教育",开发|测试|运维类,"['弹性工作', '扁平管理', '领导好', '五险一金']",后端开发,北京
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python开发工程师,3-5年,本科,25k-40k,"硅谷式办公,弹性工作,时令水果",移动互联网,开发|测试|运维类,"['带薪年假', '定期体检', '文化open', '扁平化管理']",后端开发,北京
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,python后台开发工程师（深圳/上海）,3-5年,本科,15k-30k,"行业领先,技术氛围浓,绩效奖金,腾讯福利",社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
大连允执科技有限公司,允执科技,15-50人,未融资,沙河口区,Python开发工程师,3-5年,不限,7k-14k,"区块链,人工智能","移动互联网,信息安全",开发|测试|运维类,"['区块链', '人工智能', '技术驱动型']",后端开发,大连
深圳茂源资本资产管理有限公司,茂源资本,50-150人,不需要融资,南山区,python实习,应届毕业生,本科,4k-6k,扁平化、高福利、五天八小时弹性工作制,"电商,金融",开发|测试|运维类,"['年终分红', '专项奖金', '绩效奖金', '股票期权']",后端开发,深圳
贵阳高登世德金融科技有限公司,高登世德金融科技,50-150人,A轮,武昌区,金融数据Python开发工程师（武汉）,1-3年,本科,8k-15k,"五险一金 ,扁平管理,周末双休,专业培训","金融,数据服务",开发|测试|运维类,"['技能培训', '带薪年假', '岗位晋升', '扁平管理']",后端开发,武汉
亿可能源科技（上海）有限公司,亿可能源,50-150人,A轮,杨浦区,高级python后端开发工程师,3-5年,本科,18k-25k,发展空间大 优秀团队,"移动互联网,数据服务",开发|测试|运维类,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",后端开发,上海
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,六险一金 硅谷式办公 时令水果 健身器材,移动互联网,开发|测试|运维类,"['带薪年假', '定期体检', '文化open', '扁平化管理']",后端开发,北京
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,python后台工程师,1-3年,本科,15k-25k,"五险一金,补充医疗,定期体检,弹性工作","移动互联网,教育",开发|测试|运维类,"['弹性工作', '扁平管理', '领导好', '五险一金']",后端开发,北京
风变科技（深圳）有限公司,风变科技（深圳）有限公司,150-500人,A轮,南山区,Python课程研发,不限,本科,8k-16k,团队氛围融洽、用户体验、六险一金,"移动互联网,教育",运营|编辑|客服类,"['专项奖金', '带薪年假', '定期体检', '六险一金']",编辑,深圳
交银企业管理服务（上海）有限公司张江高科技园区分公司,交银企服,2000人以上,上市公司,徐汇区,python开发经理,5-10年,本科,15k-20k,"周末双休,交通补助,餐补","移动互联网,金融",开发|测试|运维类,[],后端开发,上海
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,Python开发专家,3-5年,本科,30k-40k,优厚的福利待遇，发展前景广阔,工具,开发|测试|运维类,"['弹性工作', '帅哥多', '美女多', '五险一金']",后端开发,北京
千寻万物（深圳）科技有限公司,千寻万物,50-150人,未融资,南山区,Python后端工程师,5-10年,大专,15k-25k,薪酬福利佳 项目前景好,"移动互联网,电商",开发|测试|运维类,"['绩效奖金', '股票期权', '带薪年假', '定期体检']",后端开发,深圳
财新传媒有限公司,财新传媒,150-500人,A轮,朝阳区,python运维开发工程师,3-5年,本科,10k-20k,股票期权 绩效奖金 五险一金 园区食宿,文娱丨内容,开发|测试|运维类,"['绩效奖金', '五险一金', '通讯津贴', '交通补助']",后端开发,北京
广州掌昆网络科技有限公司,掌昆游戏,150-500人,不需要融资,海珠区,Python Web高级工程师,1-3年,本科,12k-18k,13薪 年终奖金 包餐 七险一金,"移动互联网,游戏",开发|测试|运维类,"['绩效奖金', '年底双薪', '年终分红', '带薪年假']",后端开发,广州
北京钱方银通科技有限公司,钱方好近,150-500人,B轮,朝阳区,python技术经理,5-10年,本科,20k-40k,晋升空间大,金融,开发|测试|运维类,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']",后端开发,北京
千言信息技术（上海）有限公司,italki,50-150人,A轮,黄浦区,Python后端,5-10年,本科,20k-30k,国际化平台，员工福利好，地点好，鼓励学习,"电商,教育",开发|测试|运维类,"['高端医疗保险', '国际化团队', '绩效奖金', '带薪年假']",后端开发,上海
云鲸智能科技（东莞）有限公司,云鲸智能,50-150人,A轮,东莞市市辖区,高级Python后台开发工程师,3-5年,本科,15k-30k,"五险一金,股权激励,扁平化,年度旅游",硬件,开发|测试|运维类,"['股票期权', '领导好', '公司有小厨房', '健身房']",后端开发,东莞
北京智合大方科技有限公司,客知音,50-150人,A轮,东城区,python后端（语音AI产品）,1-3年,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多,"企业服务,移动互联网",开发|测试|运维类,"['年终分红', '带薪年假', '交通补助', '午餐补助']",后端开发,北京
云势天下（北京）软件有限公司,云势软件,150-500人,A轮,朝阳区,Python后端工程师,5-10年,本科,20k-30k,"五险一金,团队优秀,带薪年假,扁平管理",企业服务,开发|测试|运维类,"['年底双薪', '专项奖金', '绩效奖金', '带薪年假']",后端开发,北京
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,高级python后端工程师,3-5年,本科,20k-40k,"领导好,不打卡,氛围好","移动互联网,教育",开发|测试|运维类,"['扁平管理', '最优秀的伙伴', '弹性工作', '公司午晚餐']",移动前端开发,北京
大悟多升网络科技有限公司,大悟多升,150-500人,不需要融资,浦东新区,python开发工程师,3-5年,大专,14k-25k,包住单间公寓 二三十天年假 海外工作机会,"移动互联网,游戏",开发|测试|运维类,[],后端开发,上海
深圳市兴海物联科技有限公司,兴海物联,150-500人,不需要融资,南山区,python后端工程师,1-3年,本科,12k-15k,平台大，资源多，发展空间大，扁平化管理,"其他,移动互联网",开发|测试|运维类,"['带薪年假', '绩效奖金', '专项奖金', '午餐补助']",后端开发,深圳
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,python后台开发,1-3年,大专,8k-12k,工作环境好；有转为腾讯正式员工机会,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
Gekko Artificial Intelligence Limited,Gekko.ai,15-50人,不需要融资,宝安区,Python / Golang后端工程师,3-5年,本科,15k-30k,前沿技术 空间大 挑战性,"数据服务,金融",开发|测试|运维类,"['扁平管理', '股票期权', '前沿科技']",后端开发,深圳
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,Python平台开发,不限,本科,24k-40k,发展前景好、福利待遇高,人工智能,开发|测试|运维类,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",后端开发,北京
杭州美登科技股份有限公司,美登科技,15-50人,不需要融资,拱墅区,Python Web 后端研发工程师,1-3年,本科,15k-30k,"六险二金,技术大神带,午餐补助,扁平化管理","电商,企业服务",开发|测试|运维类,"['年度旅游', '弹性工作', '丰厚年终奖', '技术大咖云集']",后端开发,杭州
力扣信息科技（上海）有限公司,LeetCode 领扣网络,15-50人,未融资,普陀区,资深 Python 后端开发工程师,5-10年,本科,20k-40k,"绩效奖励,工作环境优,扁平式管理",移动互联网,开发|测试|运维类,"['年底双薪', '绩效奖金', '午餐补助', '扁平管理']",后端开发,上海
千寻万物（深圳）科技有限公司,千寻万物,50-150人,未融资,南山区,高级python后端研发工程师/架构师,5-10年,本科,15k-30k,薪酬福利佳 项目前景好,"移动互联网,电商",开发|测试|运维类,"['绩效奖金', '股票期权', '带薪年假', '定期体检']",后端开发,深圳
风变科技（深圳）有限公司,风变科技（深圳）有限公司,150-500人,A轮,南山区,Python内容研发,不限,本科,8k-16k,团队氛围融洽、用户体验、六险一金,"移动互联网,教育",运营|编辑|客服类,"['专项奖金', '带薪年假', '定期体检', '六险一金']",编辑,深圳
杭州飞享数据技术有限公司,飞享数据,15-50人,A轮,滨江区,python开发(3年以上工作经验),3-5年,本科,14k-28k,发展空间大，领导NICE，企业氛围好,"移动互联网,数据服务",开发|测试|运维类,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",后端开发,杭州
江西普天数据电缆有限公司,普天,2000人以上,不需要融资,高新园区,python开发工程师,3-5年,本科,15k-25k,不加班,"数据服务,移动互联网",开发|测试|运维类,"['绩效奖金', '午餐补助', '带薪年假', '年底双薪']",后端开发,大连
上海丫丫信息科技有限公司,妈妈帮,50-150人,不需要融资,浦东新区,Python主管,5-10年,本科,22k-32k,弹性作息、每日水果、部门团建、商业保险,"移动互联网,消费生活",开发|测试|运维类,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",后端开发,上海
南京擎盾信息科技有限公司,南京擎盾,150-500人,A轮,雨花台区,python后端,3-5年,本科,8k-16k,"五险一金,定期体检,周末双休,节日福利",移动互联网,开发|测试|运维类,"['带薪年假', '定期体检', '绩效奖金', '股票期权']",后端开发,南京
大悟多升网络科技有限公司,大悟多升,150-500人,不需要融资,南山区,python开发工程师,3-5年,大专,14k-25k,包住单间公寓 二三十天年假 海外工作机会,"移动互联网,游戏",开发|测试|运维类,[],后端开发,深圳
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,"六险一金,水果零食多,按摩椅,大牛云集",移动互联网,开发|测试|运维类,"['带薪年假', '定期体检', '文化open', '扁平化管理']",后端开发,北京
成都蜗牛创想科技有限公司,信息技术、软件开发、测试及应用,50-150人,不需要融资,渝北区,Python讲师,3-5年,本科,12k-18k,五险一金，年底双薪，员工旅游，员工体检,"移动互联网,教育",开发|测试|运维类,"['年底双薪', '带薪年假', '定期体检', '绩效奖金']",后端开发,重庆
深圳市有光科技有限公司,有光科技,50-150人,A轮,南山区,高级Python后端开发工程师,3-5年,本科,15k-25k,明星创业团队，弹性工作制，福利超预期,人工智能,开发|测试|运维类,"['年底双薪', '带薪年假', '定期体检', '股票期权']",后端开发,深圳
上海思华科技股份有限公司,思华科技,150-500人,D轮及以上,浦东新区,Python工程师,3-5年,本科,18K-35K,弹性上班，培训机会，补充医疗，核心团队,移动互联网,开发|测试|运维类,"['节日礼物', '年底双薪', '专项奖金', '股票期权']",后端开发,上海
南京善道智能科技有限公司,善道智能,50-150人,不需要融资,建邺区,Python后端工程师,3-5年,不限,15k-25k,人工智能 炙手可热,"人工智能,企业服务",开发|测试|运维类,"['股票期权', '年终分红', '交通补助', '带薪年假']",后端开发,南京
东莞先知大数据有限公司,东莞先知大数据有限公司,50-150人,不需要融资,东莞市市辖区,python开发,3-5年,本科,8k-15k,包吃住 五险一金 零食 节日 户外,"数据服务,硬件",开发|测试|运维类,[],后端开发,东莞
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,海淀区,python后台开发（深圳）,3-5年,本科,30k-50k,大平台,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,北京
网易（杭州）有限公司,网易,2000人以上,上市公司,天河区,python开发工程师,不限,本科,16k-25k,6险1金，带薪年假，免费猪厂食堂，16薪,电商,开发|测试|运维类,"['节日礼物', '技能培训', '免费班车', '带薪年假']",后端开发,广州
上海联元智能科技有限公司,联元智能科技,50-150人,A轮,普陀区,python数据开发,3-5年,本科,15k-30k,绩效、补充公积金,"移动互联网,数据服务",开发|测试|运维类,"['绩效奖金', '带薪年假', '补充公积金', '年底双薪']",后端开发,上海
北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,朝阳区,python开发工程师（安全方向）,3-5年,本科,25k-50k,六险一金 年度体检 企业医生 弹性工作,"移动互联网,文娱丨内容",开发|测试|运维类,"['扁平管理', '帅哥多', '领导好', '美女多']",后端开发,北京
北京创源微致软件有限公司,创源微致,500-2000人,不需要融资,海淀区,python后端,3-5年,本科,15k-30k,创业公司，技术氛围浓厚，行业前景好,移动互联网,开发|测试|运维类,"['年底双薪', '带薪年假', '岗位晋升', '扁平管理']",后端开发,北京
北京视野金融信息服务有限公司,视野金融,50-150人,A轮,海淀区,Python大数据工程师,3-5年,本科,12k-16k,五险一金 加班补助 老板nice,"移动互联网,金融",开发|测试|运维类,"['股票期权', '绩效奖金', '岗位晋升', '扁平管理']",数据开发,北京
北京优思安科技有限公司,积云教育,150-500人,A轮,昌平区,Python高级讲师,3-5年,本科,20k-30k,"五险一金,餐补,周末双休,班车接送",教育,开发|测试|运维类,"['午餐补助', '带薪年假', '五险一金', '学校环境好']",后端开发,北京
北京极客晨星科技发展有限公司,极客晨星,150-500人,A轮,朝阳区,python讲师,1-3年,本科,15k-25k,五险一金 双休 股票期权 年终奖金,"移动互联网,教育",开发|测试|运维类,"['弹性工作', '领导好', '技能培训', '岗位晋升']",后端开发,北京
